OriginalMfold,NewestMfold,Nussinov,Length
1.2775216102600098,1.2469840049743652,0.5503056049346924,67
0.9075753688812256,0.9135391712188721,0.4040098190307617,67
1.2915501594543457,1.4140386581420898,0.40210509300231934,69
1.8451013565063477,2.0674097537994385,0.4099552631378174,78
1.3592519760131836,1.481889247894287,0.4323899745941162,94
2.792719602584839,3.2488691806793213,0.44534730911254883,104
3.2232024669647217,3.70633602142334,0.45323610305786133,104
2.593827962875366,3.015042304992676,0.44602513313293457,105
3.3829989433288574,3.994332790374756,0.47429490089416504,106
2.8852217197418213,3.3552651405334473,0.4780259132385254,106
3.3999218940734863,3.9416940212249756,0.4580845832824707,107
3.6343066692352295,4.296586513519287,0.4499809741973877,108
3.789522409439087,4.47654128074646,0.48709583282470703,108
3.6549746990203857,4.351454496383667,0.4799611568450928,111
3.9306271076202393,4.750631332397461,0.4918079376220703,111
4.309103727340698,5.147154092788696,0.481614351272583,114
4.4459803104400635,5.364068508148193,0.4969315528869629,117
5.003053426742554,5.987589120864868,0.5221624374389648,124
6.758243560791016,8.337856531143188,0.5290260314941406,134
7.1844727993011475,8.98256254196167,0.52752685546875,134
14.735882759094238,18.044618844985962,0.5908982753753662,151
13.4234299659729,16.556479930877686,0.5935807228088379,152
13.828627824783325,16.890360116958618,0.6271800994873047,161
23.851766347885132,29.62570548057556,0.7657077312469482,189
19.71871566772461,24.345910787582397,0.7678656578063965,189
24.663909912109375,30.068387985229492,0.8671989440917969,203
44.04357624053955,54.916210889816284,1.010326862335205,223
69.74560546875,87.79378533363342,1.1321349143981934,237
82.1208484172821,102.34771132469177,1.368114948272705,259
115.02127051353455,149.49761033058167,1.477116346359253,270
96.95761966705322,123.01698136329651,1.5497157573699951,275
126.22419619560242,157.6819474697113,1.5875484943389893,278
281.6661207675934,356.85557556152344,2.366300582885742,330
1161.1923155784607,1508.2794139385223,8.622669219970703,526
2522.6932542324066,3289.751852989197,15.76494836807251,653
5778.637796640396,7502.607222557068,23.30988121032715,747
