OriginalMfold_NewestMfold,OriginalMfold_true,OriginalMfold_Nussinov,OriginalMfold_MfoldWebversion,NewestMfold_OriginalMfold,NewestMfold_true,NewestMfold_Nussinov,NewestMfold_MfoldWebversion,true_OriginalMfold,true_NewestMfold,true_Nussinov,true_MfoldWebversion,Nussinov_OriginalMfold,Nussinov_NewestMfold,Nussinov_true,Nussinov_MfoldWebversion,MfoldWebversion_OriginalMfold,MfoldWebversion_NewestMfold,MfoldWebversion_true,MfoldWebversion_Nussinov,length,type
0.7999999485000029,0.7499999486250033,0.7333332817283985,0.9767441338020576,0.7999999485000029,0.8055555033179043,0.7317072660321269,0.8205127687048024,0.7499999486250033,0.8055555033179043,0.7317072660321269,0.7435896919789644,0.7333332817283985,0.7317072660321269,0.7317072660321269,0.7045454030475241,0.9767441338020576,0.8205127687048024,0.7435896919789644,0.7045454030475241,67,tRNA
0.95238090022676,0.6999999482500036,0.6818181306818217,0.95238090022676,0.95238090022676,0.7380951864512505,0.7391303832703248,0.9999999477272752,0.6999999482500036,0.7380951864512505,0.8409090394111599,0.7380951864512505,0.6818181306818217,0.7391303832703248,0.8409090394111599,0.7391303832703248,0.95238090022676,0.9999999477272752,0.7380951864512505,0.7391303832703248,67,tRNA
0.8627450463667848,0.9374999481336831,0.7333332823209909,0.9999999480000024,0.8627450463667848,0.8775509688046675,0.7826086448015153,0.8627450463667848,0.9374999481336831,0.8775509688046675,0.7441859950243408,0.9374999481336831,0.7333332823209909,0.7826086448015153,0.7441859950243408,0.7333332823209909,0.9999999480000024,0.8627450463667848,0.9374999481336831,0.7333332823209909,69,otherrRNA
0.8301886278390914,0.7799999484400032,0.6458332820746565,0.9074073560013745,0.8301886278390914,0.8113207033463896,0.7058823020376811,0.8596490713142535,0.7799999484400032,0.8113207033463896,0.6666666153645869,0.8148147635802498,0.6458332820746565,0.7058823020376811,0.6666666153645869,0.6538461032544416,0.9074073560013745,0.8596490713142535,0.8148147635802498,0.6538461032544416,78,otherrRNA
0.5999999486250042,0.5945945439006614,0.6279069253109829,0.8636363117768624,0.5999999486250042,0.4285713777142915,0.5121950709696657,0.6428570917800491,0.5945945439006614,0.4285713777142915,0.5263157393351845,0.5128204631163753,0.6279069253109829,0.5121950709696657,0.5263157393351845,0.6444443930370408,0.8636363117768624,0.6428570917800491,0.5128204631163753,0.6444443930370408,94,16SrRNA
0.8484847971992684,0.779660966331517,0.8285713775510235,0.9253730829583453,0.8484847971992684,0.7118643562769353,0.8428570918163295,0.8805969636221905,0.779660966331517,0.7118643562769353,0.7619047122197058,0.7666666162777808,0.8285713775510235,0.8428570918163295,0.7619047122197058,0.8591548784566584,0.9253730829583453,0.8805969636221905,0.7666666162777808,0.8591548784566584,104,other
0.7681158910102953,0.9583332820023175,0.7746478362428122,0.9014083994445574,0.7681158910102953,0.7971013982146641,0.7941175959342593,0.7794117136029444,0.9583332820023175,0.7971013982146641,0.8169013573100605,0.9295774134893898,0.7746478362428122,0.7941175959342593,0.8169013573100605,0.7714285203265339,0.9014083994445574,0.7794117136029444,0.9295774134893898,0.7714285203265339,104,sncRNA
0.7884614870192339,0.615384564275152,0.6206896043400753,0.6363635852231444,0.7884614870192339,0.5799999488400043,0.5535713781568922,0.5849056094339665,0.615384564275152,0.5799999488400043,0.571428520982147,0.7924527788536878,0.6206896043400753,0.5535713781568922,0.571428520982147,0.677966050675097,0.6363635852231444,0.5849056094339665,0.7924527788536878,0.677966050675097,105,5SrRNA
0.9253730829583453,0.5999999498888929,0.8611110600694474,0.8461537949585829,0.9253730829583453,0.661016898735999,0.8309858645705248,0.8906249486572294,0.5999999498888929,0.661016898735999,0.6249999507812537,0.7017543351185015,0.8611110600694474,0.8309858645705248,0.6249999507812537,0.811594152236928,0.8461537949585829,0.8906249486572294,0.7017543351185015,0.811594152236928,106,5SrRNA
0.9218749485595731,0.49999995078875636,0.7462686057028325,0.7499999488281285,0.9218749485595731,0.5555555062414308,0.7164178594787293,0.7343749488525425,0.49999995078875636,0.5555555062414308,0.45614030267775196,0.5925925432098804,0.7462686057028325,0.7164178594787293,0.45614030267775196,0.6567163670305228,0.7499999488281285,0.7343749488525425,0.5925925432098804,0.6567163670305228,106,5SrRNA
0.6562499490234412,0.6190475681783865,0.6999999491632688,0.701492486277571,0.6562499490234412,0.6885245390486465,0.7205881846237058,0.7538461027929028,0.6190475681783865,0.6885245390486465,0.6567163674760562,0.6093749492431682,0.6999999491632688,0.7205881846237058,0.6567163674760562,0.704225301210081,0.701492486277571,0.7538461027929028,0.6093749492431682,0.704225301210081,107,5SrRNA
